stock-analyzer  | 2026-01-29 19:10:03 | INFO     | root                 | 日志系统初始化完成，日志目录: /app/logs
stock-analyzer  | 2026-01-29 19:10:03 | INFO     | root                 | 常规日志: logs/stock_analysis_20260129.log
stock-analyzer  | 2026-01-29 19:10:03 | INFO     | root                 | 调试日志: logs/stock_analysis_debug_20260129.log
stock-analyzer  | 2026-01-29 19:10:03 | INFO     | __main__             | ============================================================
stock-analyzer  | 2026-01-29 19:10:03 | INFO     | __main__             | A股自选股智能分析系统 启动
stock-analyzer  | 2026-01-29 19:10:03 | INFO     | __main__             | 运行时间: 2026-01-29 19:10:03
stock-analyzer  | 2026-01-29 19:10:03 | INFO     | __main__             | ============================================================
stock-analyzer  | 2026-01-29 19:10:03 | WARNING  | __main__             | 提示：未配置 Gemini API Key，将使用 OpenAI 兼容 API
stock-analyzer  | 2026-01-29 19:10:03 | WARNING  | __main__             | 提示：未配置搜索引擎 API Key (Bocha/Tavily/SerpAPI)，新闻搜索功能将不可用
stock-analyzer  | 2026-01-29 19:10:03 | INFO     | web.server           | WebUI 已启动: http://0.0.0.0:8000
stock-analyzer  | 2026-01-29 19:10:03 | INFO     | __main__             | 模式: 仅 WebUI 服务
stock-analyzer  | WebUI 已启动: http://0.0.0.0:8000
stock-analyzer  | 2026-01-29 19:10:03 | INFO     | __main__             | WebUI 运行中: http://0.0.0.0:8000
stock-analyzer  | 2026-01-29 19:10:03 | INFO     | __main__             | 通过 /analysis?code=xxx 接口手动触发分析
stock-analyzer  | 2026-01-29 19:10:03 | INFO     | __main__             | 按 Ctrl+C 退出...
stock-analyzer  | 2026-01-29 19:11:26 | INFO     | web.services         | [AnalysisService] 已提交股票 600519 的分析任务, task_id=600519_20260129_191126_338287, report_type=simple
stock-analyzer  | 2026-01-29 19:11:26 | INFO     | web.services         | [AnalysisService] 开始分析股票: 600519
stock-analyzer  | 2026-01-29 19:11:26 | INFO     | src.storage          | 数据库初始化完成: sqlite:////app/data/stock_analysis.db
stock-analyzer  | 2026-01-29 19:11:26 | INFO     | data_provider.tushare_fetcher | Tushare API 初始化成功
stock-analyzer  | 2026-01-29 19:11:26 | INFO     | data_provider.tushare_fetcher | ✅ 检测到 TUSHARE_TOKEN 且 API 初始化成功，Tushare 数据源优先级提升为最高 (Priority 0)
stock-analyzer  | 2026-01-29 19:11:26 | INFO     | data_provider.base   | 已初始化 5 个数据源（按优先级）: EfinanceFetcher(P0), TushareFetcher(P0), AkshareFetcher(P1), BaostockFetcher(P3), YfinanceFetcher(P4)
stock-analyzer  | 2026-01-29 19:11:26 | INFO     | src.analyzer         | Gemini API Key 未配置，尝试使用 OpenAI 兼容 API
stock-analyzer  | 2026-01-29 19:11:26 | WARNING  | src.analyzer         | 未配置任何 AI API Key，AI 分析功能将不可用
